ensembl_gene_id	mgi_symbol	gene_biotype	chromosome_name	start_position	end_position
ENSMUSG00000085761	4930455G09Rik	lncRNA	4	141745209	141756307
ENSMUSG00000085956	4930481B07Rik	lncRNA	3	94922936	94927449
ENSMUSG00000105659	4930509H03Rik	lncRNA	3	104417415	104418629
ENSMUSG00000097602	4930519P11Rik	lncRNA	2	154453730	154455357
ENSMUSG00000086947	4930522O17Rik	lncRNA	4	53246196	53251115
ENSMUSG00000090394	4930523C07Rik	protein_coding	1	159871952	159907778
ENSMUSG00000097032	4930539J05Rik	lncRNA	3	135141970	135144426
ENSMUSG00000106157	4930555A03Rik	lncRNA	3	150999763	151002278
ENSMUSG00000105734	4930558C23Rik	protein_coding	3	95293772	95310152
ENSMUSG00000085084	4930570G19Rik	lncRNA	3	156252390	156267383
ENSMUSG00000089683	4930570N18Rik	lncRNA	1	192885346	192908516
ENSMUSG00000027811	4930579G24Rik	protein_coding	3	79536386	79540127
ENSMUSG00000037270	4932438A13Rik	protein_coding	3	36917253	37107182
ENSMUSG00000097852	4933405D12Rik	lncRNA	3	122658386	122717765
ENSMUSG00000085037	4933421O10Rik	lncRNA	4	33027142	33031323
ENSMUSG00000087289	4933424M12Rik	lncRNA	4	107640917	107647118
ENSMUSG00000097786	4933429H19Rik	lncRNA	3	30846719	30847713
ENSMUSG00000058046	4933430I17Rik	protein_coding	4	62443606	62466230
ENSMUSG00000086968	4933431E20Rik	lncRNA	3	107796166	107803529
ENSMUSG00000027942	4933434E20Rik	protein_coding	3	89958943	89970648
ENSMUSG00000085184	4933439K11Rik	lncRNA	1	172365700	172385696
ENSMUSG00000085129	5031425F14Rik	lncRNA	2	166289371	166301152
ENSMUSG00000097885	5031434O11Rik	lncRNA	3	51467456	51474538
ENSMUSG00000097251	5033417F24Rik	lncRNA	1	92836100	92838486
ENSMUSG00000086822	5330413P13Rik	lncRNA	2	131661926	131689603
ENSMUSG00000085741	5430405H02Rik	lncRNA	2	156686271	156704883
ENSMUSG00000073755	5730409E04Rik	protein_coding	4	126503611	126508164
ENSMUSG00000084803	5830444B04Rik	lncRNA	4	155483220	155506161
ENSMUSG00000097760	6030442K20Rik	lncRNA	1	132394171	132404802
ENSMUSG00000066178	6030445D17Rik	lncRNA	4	136189561	136191288
ENSMUSG00000009551	6330409D20Rik	protein_coding	2	32622632	32631028
ENSMUSG00000093424	6330562C20Rik	lncRNA	3	95214387	95222438
ENSMUSG00000074646	6430550D23Rik	protein_coding	2	155815199	155849897
ENSMUSG00000102545	6430573P05Rik	lncRNA	3	79194480	79197155
ENSMUSG00000097583	6430590A07Rik	lncRNA	3	40840332	40848628
ENSMUSG00000079499	6530402F18Rik	lncRNA	2	29135119	29143018
ENSMUSG00000097934	6720483E21Rik	lncRNA	1	20958874	20960697
ENSMUSG00000032680	6820408C15Rik	protein_coding	2	152257507	152286250
ENSMUSG00000073821	8030451A03Rik	lncRNA	4	63898091	64068161
ENSMUSG00000041878	8430432A02Rik	lncRNA	1	43131748	43132995
ENSMUSG00000086070	8430436N08Rik	lncRNA	4	7560688	7573801
ENSMUSG00000086141	9030622O22Rik	lncRNA	2	147786660	147882123
ENSMUSG00000087624	9230111E07Rik	lncRNA	2	167623973	167625406
ENSMUSG00000070461	9230112E08Rik	lncRNA	2	180625717	180629068
ENSMUSG00000097403	9230116N13Rik	lncRNA	1	136339654	136343257
ENSMUSG00000103502	9330121J05Rik	lncRNA	3	62244945	62247953
ENSMUSG00000059939	9430015G10Rik	protein_coding	4	156194439	156211722
ENSMUSG00000086554	9530034E10Rik	lncRNA	4	117832233	117851169
ENSMUSG00000059027	9630013D21Rik	lncRNA	4	109508726	109515050
ENSMUSG00000044730	9930104L06Rik	protein_coding	4	124830841	124838449
ENSMUSG00000113880	A030005L19Rik	protein_coding	1	82891046	82891851
ENSMUSG00000079144	A130010J15Rik	protein_coding	1	192850354	192860140
ENSMUSG00000087627	A230059L01Rik	lncRNA	1	146678703	146683078
ENSMUSG00000085482	A230083N12Rik	lncRNA	4	74168561	74169951
ENSMUSG00000096929	A330023F24Rik	lncRNA	1	194658683	194720212
ENSMUSG00000047613	A430005L14Rik	protein_coding	4	154041694	154046382
ENSMUSG00000085315	A430018G15Rik	lncRNA	2	52315024	52324897
ENSMUSG00000104507	A430027H14Rik	lncRNA	1	189075628	189077094
ENSMUSG00000097784	A430105J06Rik	lncRNA	1	186481593	186485118
ENSMUSG00000054135	A430110L20Rik	lncRNA	1	181053551	181056063
ENSMUSG00000006462	A530013C23Rik	lncRNA	2	167533097	167571092
ENSMUSG00000097124	A530020G20Rik	lncRNA	3	121325268	121329855
ENSMUSG00000089844	A530032D15Rik	protein_coding	1	85060790	85087574
ENSMUSG00000072109	A530040E14Rik	lncRNA	1	85083667	85091756
ENSMUSG00000100247	A530053M12Rik	lncRNA	1	106327908	106329717
ENSMUSG00000085112	A530072M11Rik	lncRNA	4	16164110	16266225
ENSMUSG00000052760	A630001G21Rik	protein_coding	1	85644804	85706364
ENSMUSG00000084846	A730011C13Rik	lncRNA	3	94901721	94904661
ENSMUSG00000085566	A730017L22Rik	lncRNA	2	130714979	130748316
ENSMUSG00000044522	A730020M07Rik	lncRNA	3	121428585	121437134
ENSMUSG00000057715	A830018L16Rik	protein_coding	1	11484329	12046125
ENSMUSG00000098008	A930001A20Rik	lncRNA	3	15036261	15067787
ENSMUSG00000054057	A930004D18Rik	protein_coding	2	18030004	18042548
ENSMUSG00000054426	A930005H10Rik	lncRNA	3	115675230	115681779
ENSMUSG00000054181	A930012O16Rik	lncRNA	2	57126239	57128520
ENSMUSG00000033213	AA467197	protein_coding	2	122478906	122483111
ENSMUSG00000042510	AA986860	protein_coding	1	130659713	130672359
ENSMUSG00000027761	Aadac	protein_coding	3	59933138	59947581
ENSMUSG00000006299	Aamp	protein_coding	1	74318999	74323897
ENSMUSG00000027628	Aar2	protein_coding	2	156389504	156410892
ENSMUSG00000015243	Abca1	protein_coding	4	53030787	53159895
ENSMUSG00000026944	Abca2	protein_coding	2	25318715	25338552
ENSMUSG00000028125	Abca4	protein_coding	3	121838092	121973772
ENSMUSG00000040584	Abcb1a	protein_coding	5	8710077	8798575
ENSMUSG00000028970	Abcb1b	protein_coding	5	8848147	8916315
ENSMUSG00000042476	Abcb4	protein_coding	5	8943717	9009231
ENSMUSG00000026198	Abcb6	protein_coding	1	75148361	75157036
ENSMUSG00000028127	Abcd3	protein_coding	3	121552423	121608951
ENSMUSG00000032046	Abhd12	protein_coding	2	150674413	150746661
ENSMUSG00000037818	Abhd18	protein_coding	3	40801405	40892573
ENSMUSG00000058835	Abi1	protein_coding	2	22830085	22930253
ENSMUSG00000026782	Abi2	protein_coding	1	60448778	60520317
ENSMUSG00000038827	Abitram	protein_coding	4	56802345	56809601
ENSMUSG00000026842	Abl1	protein_coding	2	31578388	31694239
ENSMUSG00000026596	Abl2	protein_coding	1	156386356	156477138
ENSMUSG00000032724	Abtb2	protein_coding	2	103396655	103548768
ENSMUSG00000027710	Acad9	protein_coding	3	36120128	36147002
ENSMUSG00000026003	Acadl	protein_coding	1	66869998	66902436
ENSMUSG00000062908	Acadm	protein_coding	3	153627994	153650269
ENSMUSG00000029033	Acap3	protein_coding	4	155976279	155991708
ENSMUSG00000026499	Acbd3	protein_coding	1	180553608	180581769
ENSMUSG00000026781	Acbd5	protein_coding	2	22958179	23005570
ENSMUSG00000033701	Acbd6	protein_coding	1	155433866	155567076
ENSMUSG00000026644	Acbd7	protein_coding	2	3337205	3342030
ENSMUSG00000040272	Accs	protein_coding	2	93663812	93680288
ENSMUSG00000038007	Acer2	protein_coding	4	86792633	86853059
ENSMUSG00000037872	Ackr1	protein_coding	1	173159453	173161317
ENSMUSG00000044337	Ackr3	protein_coding	1	90131702	90144473
ENSMUSG00000028405	Aco1	protein_coding	4	40143081	40198338
ENSMUSG00000034853	Acot11	protein_coding	4	106601752	106662195
ENSMUSG00000028937	Acot7	protein_coding	4	152262591	152356312
ENSMUSG00000017307	Acot8	protein_coding	2	164634685	164646802
ENSMUSG00000027380	Acoxl	protein_coding	2	127680796	127965793
ENSMUSG00000002103	Acp2	protein_coding	2	91033230	91044443
ENSMUSG00000028093	Acp6	protein_coding	3	97066093	97084615
ENSMUSG00000032883	Acsl3	protein_coding	1	78635542	78685460
ENSMUSG00000027452	Acss1	protein_coding	2	150460025	150510420
ENSMUSG00000027605	Acss2	protein_coding	2	155359868	155427644
ENSMUSG00000068614	Actc1	protein_coding	2	113877763	113884029
ENSMUSG00000027671	Actl6a	protein_coding	3	32760447	32781122
ENSMUSG00000037351	Actr1b	protein_coding	1	36737195	36753503
ENSMUSG00000026341	Actr3	protein_coding	1	125320642	125363464
ENSMUSG00000037761	Actr5	protein_coding	2	158466808	158481131
ENSMUSG00000026836	Acvr1	protein_coding	2	58278656	58457169
ENSMUSG00000026834	Acvr1c	protein_coding	2	58157465	58247907
ENSMUSG00000052155	Acvr2a	protein_coding	2	48704121	48793281
ENSMUSG00000017697	Ada	protein_coding	2	163568504	163592159
ENSMUSG00000027259	Adal	protein_coding	2	120970909	120987161
ENSMUSG00000028041	Adam15	protein_coding	3	89245849	89257303
ENSMUSG00000040537	Adam22	protein_coding	5	8122352	8418160
ENSMUSG00000025964	Adam23	protein_coding	1	63485050	63635435
ENSMUSG00000027318	Adam33	protein_coding	2	130892511	130905734
ENSMUSG00000014852	Adamts13	protein_coding	2	26863428	26899640
ENSMUSG00000006403	Adamts4	protein_coding	1	171077990	171088206
ENSMUSG00000066113	Adamtsl1	protein_coding	4	85432409	86346622
ENSMUSG00000036040	Adamtsl2	protein_coding	2	26969391	26998993
ENSMUSG00000015850	Adamtsl4	protein_coding	3	95583511	95595228
ENSMUSG00000027951	Adar	protein_coding	3	89622329	89660753
ENSMUSG00000028782	Adgrb2	protein_coding	4	129878663	129916426
ENSMUSG00000028184	Adgrl2	protein_coding	3	148521219	148696191
ENSMUSG00000039167	Adgrl4	protein_coding	3	151143524	151250723
ENSMUSG00000074207	Adh1	protein_coding	3	137966752	137996459
ENSMUSG00000028138	Adh5	protein_coding	3	138148854	138161260
ENSMUSG00000055301	Adh7	protein_coding	3	137923521	137939143
ENSMUSG00000025911	Adhfe1	protein_coding	1	9618173	9650898
ENSMUSG00000044405	Adig	protein_coding	2	158344532	158350118
ENSMUSG00000026457	Adipor1	protein_coding	1	134343116	134361089
ENSMUSG00000051149	Adnp	protein_coding	2	168022906	168049032
ENSMUSG00000042429	Adora1	protein_coding	1	134126961	134163169
ENSMUSG00000000562	Adora3	protein_coding	3	105778174	105816242
ENSMUSG00000039041	Adrm1	protein_coding	2	179813278	179818079
ENSMUSG00000015961	Adss	protein_coding	1	177590528	177624077
ENSMUSG00000037138	Aff3	protein_coding	1	38216407	38704036
ENSMUSG00000055013	Agap1	protein_coding	1	89382528	89825339
ENSMUSG00000040812	Agbl2	protein_coding	2	90613071	90664781
ENSMUSG00000061298	Agbl4	protein_coding	4	110254858	111521521
ENSMUSG00000026159	Agfg1	protein_coding	1	82817204	82878903
ENSMUSG00000033400	Agl	protein_coding	3	116533648	116601815
ENSMUSG00000040706	Agmat	protein_coding	4	141473983	141486574
ENSMUSG00000041530	Ago1	protein_coding	4	126328805	126362376
ENSMUSG00000028842	Ago3	protein_coding	4	126225497	126323349
ENSMUSG00000042500	Ago4	protein_coding	4	126383334	126427265
ENSMUSG00000026922	Agpat2	protein_coding	2	26483069	26494429
ENSMUSG00000042410	Agps	protein_coding	2	75662521	75761694
ENSMUSG00000041936	Agrn	protein_coding	4	156249747	156281945
ENSMUSG00000054988	Agtr1b	protein_coding	3	20368637	20421341
ENSMUSG00000029007	Agtrap	protein_coding	4	148161518	148172488
ENSMUSG00000026491	Ahctf1	protein_coding	1	179572459	179631245
ENSMUSG00000027597	Ahcy	protein_coding	2	154901230	154916417
ENSMUSG00000027893	Ahcyl1	protein_coding	3	107570434	107603876
ENSMUSG00000037692	Ahdc1	protein_coding	4	132738571	132805421
ENSMUSG00000035875	AI182371	protein_coding	2	34971873	34991555
ENSMUSG00000056145	AI504432	lncRNA	3	106946820	106961663
ENSMUSG00000010290	AI597479	protein_coding	1	43137870	43155107
ENSMUSG00000085180	AI838599	lncRNA	4	3242055	3258092
ENSMUSG00000084826	AI847159	lncRNA	2	129000586	129022587
ENSMUSG00000042901	Aida	protein_coding	1	183078134	183106331
ENSMUSG00000001864	Aif1l	protein_coding	2	31840151	31863454
ENSMUSG00000037860	Aim2	protein_coding	1	173178445	173293606
ENSMUSG00000028029	Aimp1	protein_coding	3	132366242	132390131
ENSMUSG00000039546	Ajap1	protein_coding	4	153457678	153567268
ENSMUSG00000029419	Ajm1	protein_coding	2	25465428	25471769
ENSMUSG00000026817	Ak1	protein_coding	2	32511770	32525070
ENSMUSG00000028792	Ak2	protein_coding	4	128885751	128905322
ENSMUSG00000028527	Ak4	protein_coding	4	101276474	101324192
ENSMUSG00000039058	Ak5	protein_coding	3	152168452	152373997
ENSMUSG00000026807	Ak8	protein_coding	2	28590176	28703177
ENSMUSG00000040407	Akap9	protein_coding	5	3978054	4131310
ENSMUSG00000023075	Akirin1	protein_coding	4	123628352	123644138
ENSMUSG00000028291	Akirin2	protein_coding	4	34550937	34566908
ENSMUSG00000039158	Akna	protein_coding	4	63285362	63321591
ENSMUSG00000028692	Akr1a1	protein_coding	4	116493707	116508877
ENSMUSG00000025955	Akr1cl	protein_coding	1	65051848	65071918
ENSMUSG00000028743	Akr7a5	protein_coding	4	139038055	139045737
ENSMUSG00000019699	Akt3	protein_coding	1	176847639	177085769
ENSMUSG00000028393	Alad	protein_coding	4	62427406	62438155
ENSMUSG00000035561	Aldh1b1	protein_coding	4	45799022	45804604
ENSMUSG00000028737	Aldh4a1	protein_coding	4	139350177	139377001
ENSMUSG00000026687	Aldh9a1	protein_coding	1	167177560	167196101
ENSMUSG00000059343	Aldoart1	protein_coding	4	72768820	72770871
ENSMUSG00000039887	Alg14	protein_coding	3	121085422	121156743
ENSMUSG00000039740	Alg2	protein_coding	4	47465067	47474333
ENSMUSG00000036632	Alg5	protein_coding	3	54642960	54658739
ENSMUSG00000073792	Alg6	protein_coding	4	99603901	99651697
ENSMUSG00000087247	Alkal1	protein_coding	1	6429442	6464955
ENSMUSG00000040174	Alkbh3	protein_coding	2	93810895	93841152
ENSMUSG00000028028	Alpk1	protein_coding	3	127463959	127574176
ENSMUSG00000028766	Alpl	protein_coding	4	137469044	137523695
ENSMUSG00000026024	Als2	protein_coding	1	59202085	59276390
ENSMUSG00000040310	Alx4	protein_coding	2	93472729	93511684
ENSMUSG00000060244	Alyref2	protein_coding	1	171331046	171332318
ENSMUSG00000040506	Ambra1	protein_coding	2	91560479	91749194
ENSMUSG00000050947	Amigo1	protein_coding	3	108093651	108099602
ENSMUSG00000070385	Ampd1	protein_coding	3	102981330	103007036
ENSMUSG00000027889	Ampd2	protein_coding	3	107981378	107993967
ENSMUSG00000074264	Amy1	protein_coding	3	113349359	113400348
ENSMUSG00000014355	Anapc1	protein_coding	2	128452024	128529311
ENSMUSG00000026965	Anapc2	protein_coding	2	25162490	25175927
ENSMUSG00000026634	Angel2	protein_coding	1	190657309	190679159
ENSMUSG00000027460	Angpt4	protein_coding	2	151753130	151787257
ENSMUSG00000004105	Angptl2	protein_coding	2	33106081	33137729
ENSMUSG00000028553	Angptl3	protein_coding	4	98919191	98934348
ENSMUSG00000028989	Angptl7	protein_coding	4	148579640	148584917
ENSMUSG00000032826	Ank2	protein_coding	3	126715261	127292999
ENSMUSG00000074771	Ankef1	protein_coding	2	136343830	136404011
ENSMUSG00000040351	Ankib1	protein_coding	5	3740000	3852925
ENSMUSG00000034212	Ankmy1	protein_coding	1	92787525	92830628
ENSMUSG00000039988	Ankrd13c	protein_coding	3	157652876	157713671
ENSMUSG00000047909	Ankrd16	protein_coding	2	11782687	11795140
ENSMUSG00000067653	Ankrd23	protein_coding	1	36569269	36575964
ENSMUSG00000049097	Ankrd34a	protein_coding	3	96503952	96507091
ENSMUSG00000038354	Ankrd35	protein_coding	3	96577447	96598348
ENSMUSG00000079610	Ankrd39	protein_coding	1	36576588	36586526
ENSMUSG00000052331	Ankrd44	protein_coding	1	54684499	54965546
ENSMUSG00000044835	Ankrd45	protein_coding	1	160970261	160998068
ENSMUSG00000044864	Ankrd50	protein_coding	3	38503408	38538993
ENSMUSG00000040183	Ankrd6	protein_coding	4	32804035	32950841
ENSMUSG00000078137	Ankrd63	protein_coding	2	118529584	118534444
ENSMUSG00000078487	Ankrd65	protein_coding	4	155874896	155883960
ENSMUSG00000066191	Anks6	protein_coding	4	47015669	47057427
ENSMUSG00000074591	Ankub1	protein_coding	3	57564814	57600220
ENSMUSG00000026199	Ankzf1	protein_coding	1	75168795	75176031
ENSMUSG00000074968	Ano3	protein_coding	2	110485546	110781268
ENSMUSG00000034107	Ano7	protein_coding	1	93301652	93332025
ENSMUSG00000028333	Anp32b	protein_coding	4	46450902	46472657
ENSMUSG00000015749	Anp32e	protein_coding	3	95836558	95854702
ENSMUSG00000027712	Anxa5	protein_coding	3	36503072	36530043
ENSMUSG00000015702	Anxa9	protein_coding	3	95203407	95214487
ENSMUSG00000063558	Aox1	protein_coding	1	58069090	58145572
ENSMUSG00000064294	Aox3	protein_coding	1	58152289	58239857
ENSMUSG00000074238	Ap1ar	protein_coding	3	127600656	127631172
ENSMUSG00000054702	Ap1s3	protein_coding	1	79584593	79649689
ENSMUSG00000032952	Ap4b1	protein_coding	3	103716836	103729341
ENSMUSG00000001998	Ap4e1	protein_coding	2	126850637	126909829
ENSMUSG00000068264	Ap5s1	protein_coding	2	131048998	131055434
ENSMUSG00000026786	Apbb1ip	protein_coding	2	22664106	22765665
ENSMUSG00000015750	Aph1a	protein_coding	3	95801281	95805600
ENSMUSG00000027193	Api5	protein_coding	2	94242027	94268481
ENSMUSG00000010911	Apip	protein_coding	2	102904020	102922989
ENSMUSG00000044338	Aplnr	protein_coding	2	84966569	84970267
ENSMUSG00000033096	Apmap	protein_coding	2	150425000	150450487
ENSMUSG00000005681	Apoa2	protein_coding	1	171052623	171053948
ENSMUSG00000055547	Apobec4	protein_coding	1	152626302	152633295
ENSMUSG00000073652	Apol7d	lncRNA	1	71691996	71702002
ENSMUSG00000028411	Aptx	protein_coding	4	40682382	40703194
ENSMUSG00000028435	Aqp3	protein_coding	4	41092722	41098183
ENSMUSG00000028427	Aqp7	protein_coding	4	41033074	41048139
ENSMUSG00000040383	Aqr	protein_coding	2	113931651	114017505
ENSMUSG00000027575	Arfgap1	protein_coding	2	180609018	180624319
ENSMUSG00000027255	Arfgap2	protein_coding	2	91095319	91107276
ENSMUSG00000067851	Arfgef1	protein_coding	1	10207796	10302895
ENSMUSG00000074582	Arfgef2	protein_coding	2	166647508	166739972
ENSMUSG00000074513	Arfip1	protein_coding	3	84403400	84489932
ENSMUSG00000038671	Arfrp1	protein_coding	2	180999483	181007197
ENSMUSG00000027247	Arhgap1	protein_coding	2	91480205	91502671
ENSMUSG00000041219	Arhgap11a	protein_coding	2	113661837	113679006
ENSMUSG00000049744	Arhgap15	protein_coding	2	43638836	44285965
ENSMUSG00000036591	Arhgap21	protein_coding	2	20852730	20973692
ENSMUSG00000039831	Arhgap29	protein_coding	3	121746190	121810402
ENSMUSG00000048865	Arhgap30	protein_coding	1	171216522	171237866
ENSMUSG00000040964	Arhgef10l	protein_coding	4	140241796	140393323
ENSMUSG00000041977	Arhgef11	protein_coding	3	87524866	87645341
ENSMUSG00000029032	Arhgef16	protein_coding	4	154362943	154386133
ENSMUSG00000028919	Arhgef19	protein_coding	4	140966810	140984875
ENSMUSG00000028059	Arhgef2	protein_coding	3	88513273	88555359
ENSMUSG00000036885	Arhgef26	protein_coding	3	62245765	62369642
ENSMUSG00000040969	Arhgef38	protein_coding	3	132818039	132940710
ENSMUSG00000051517	Arhgef39	protein_coding	4	43496142	43499695
ENSMUSG00000037509	Arhgef4	protein_coding	1	34717269	34852390
ENSMUSG00000007880	Arid1a	protein_coding	4	133406319	133484080
ENSMUSG00000037447	Arid5a	protein_coding	1	36346814	36363110
ENSMUSG00000027122	Arl14ep	protein_coding	2	106792872	106804769
ENSMUSG00000049866	Arl4c	protein_coding	1	88600847	88629943
ENSMUSG00000036093	Arl5a	protein_coding	2	52287963	52314913
ENSMUSG00000017418	Arl5b	protein_coding	2	15054206	15087267
ENSMUSG00000026960	Arl6ip6	protein_coding	2	53081738	53109232
ENSMUSG00000026426	Arl8a	protein_coding	1	135074562	135084007
ENSMUSG00000027599	Armc1	protein_coding	3	19185566	19217229
ENSMUSG00000037683	Armc3	protein_coding	2	19204113	19315052
ENSMUSG00000062590	Armc9	protein_coding	1	86082502	86206006
ENSMUSG00000060268	Armh1	protein_coding	4	117070531	117109322
ENSMUSG00000015522	Arnt	protein_coding	3	95341699	95404551
ENSMUSG00000006304	Arpc2	protein_coding	1	74275243	74307368
ENSMUSG00000008475	Arpc5	protein_coding	1	152642293	152651348
ENSMUSG00000026755	Arpc5l	protein_coding	2	38895360	38905889
ENSMUSG00000026972	Arrdc1	protein_coding	2	24815364	24825264
ENSMUSG00000046561	Arsj	protein_coding	3	126157333	126234024
ENSMUSG00000028539	Artn	protein_coding	4	117783359	117786960
ENSMUSG00000036995	Asap3	protein_coding	4	135933676	135972527
ENSMUSG00000026311	Asb1	protein_coding	1	91468266	91487311
ENSMUSG00000039483	Asb6	protein_coding	2	30713109	30720345
ENSMUSG00000028053	Ash1l	protein_coding	3	88857929	88986682
ENSMUSG00000026095	Asnsd1	protein_coding	1	53383776	53391911
ENSMUSG00000028207	Asph	protein_coding	4	9448069	9669344
ENSMUSG00000033952	Aspm	protein_coding	1	139382510	139421829
ENSMUSG00000076441	Ass1	protein_coding	2	31360219	31410684
ENSMUSG00000028373	Astn2	protein_coding	4	65299040	66322848
ENSMUSG00000042548	Asxl1	protein_coding	2	153187749	153245927
ENSMUSG00000029036	Atad3a	protein_coding	4	155825098	155845550
ENSMUSG00000054514	Atad3aos	lncRNA	4	155845635	155853721
ENSMUSG00000027104	Atf2	protein_coding	2	73646853	73722983
ENSMUSG00000026628	Atf3	protein_coding	1	190902493	190950236
