ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name
ENSG00000143537	ADAM15	protein_coding	1
ENSG00000151694	ADAM17	protein_coding	2
ENSG00000135074	ADAM19	protein_coding	5
ENSG00000134007	ADAM20	protein_coding	14
ENSG00000139985	ADAM21	protein_coding	14
ENSG00000008277	ADAM22	protein_coding	7
ENSG00000114948	ADAM23	protein_coding	2
ENSG00000042980	ADAM28	protein_coding	8
ENSG00000168594	ADAM29	protein_coding	4
ENSG00000134249	ADAM30	protein_coding	1
ENSG00000197140	ADAM32	protein_coding	8
ENSG00000149451	ADAM33	protein_coding	20
ENSG00000069206	ADAM7	protein_coding	8
ENSG00000151651	ADAM8	protein_coding	10
ENSG00000168615	ADAM9	protein_coding	8
ENSG00000134028	ADAMDEC1	protein_coding	8
ENSG00000154734	ADAMTS1	protein_coding	21
ENSG00000142303	ADAMTS10	protein_coding	19
ENSG00000138316	ADAMTS14	protein_coding	10
ENSG00000166106	ADAMTS15	protein_coding	11
ENSG00000145536	ADAMTS16	protein_coding	5
ENSG00000140470	ADAMTS17	protein_coding	15
ENSG00000140873	ADAMTS18	protein_coding	16
ENSG00000145808	ADAMTS19	protein_coding	5
ENSG00000249421	ADAMTS19-AS1	lncRNA	5
ENSG00000173157	ADAMTS20	protein_coding	12
ENSG00000156140	ADAMTS3	protein_coding	4
ENSG00000158859	ADAMTS4	protein_coding	1
ENSG00000154736	ADAMTS5	protein_coding	21
ENSG00000049192	ADAMTS6	protein_coding	5
ENSG00000136378	ADAMTS7	protein_coding	15
ENSG00000134917	ADAMTS8	protein_coding	11
ENSG00000163638	ADAMTS9	protein_coding	3
ENSG00000241158	ADAMTS9-AS1	lncRNA	3
ENSG00000241684	ADAMTS9-AS2	lncRNA	3
ENSG00000178031	ADAMTSL1	protein_coding	9
ENSG00000197859	ADAMTSL2	protein_coding	9
ENSG00000156218	ADAMTSL3	protein_coding	15
ENSG00000143382	ADAMTSL4	protein_coding	1
ENSG00000237781	ADAMTSL4-AS2	lncRNA	1
ENSG00000185761	ADAMTSL5	protein_coding	19
ENSG00000105963	ADAP1	protein_coding	7
ENSG00000184060	ADAP2	protein_coding	17
ENSG00000160710	ADAR	protein_coding	1
ENSG00000197381	ADARB1	protein_coding	21
ENSG00000185736	ADARB2	protein_coding	10
ENSG00000205696	ADARB2-AS1	lncRNA	10
ENSG00000065457	ADAT1	protein_coding	16
ENSG00000189007	ADAT2	protein_coding	6
ENSG00000213638	ADAT3	protein_coding	19
ENSG00000063761	ADCK1	protein_coding	14
ENSG00000133597	ADCK2	protein_coding	7
ENSG00000173137	ADCK5	protein_coding	8
ENSG00000164742	ADCY1	protein_coding	7
ENSG00000143199	ADCY10	protein_coding	1
ENSG00000078295	ADCY2	protein_coding	5
ENSG00000138031	ADCY3	protein_coding	2
ENSG00000129467	ADCY4	protein_coding	14
ENSG00000173175	ADCY5	protein_coding	3
ENSG00000174233	ADCY6	protein_coding	12
ENSG00000257660	ADCY6-DT	lncRNA	12
ENSG00000121281	ADCY7	protein_coding	16
ENSG00000155897	ADCY8	protein_coding	8
ENSG00000162104	ADCY9	protein_coding	16
ENSG00000141433	ADCYAP1	protein_coding	18
ENSG00000078549	ADCYAP1R1	protein_coding	7
ENSG00000087274	ADD1	protein_coding	4
ENSG00000075340	ADD2	protein_coding	2
ENSG00000148700	ADD3	protein_coding	10
ENSG00000118492	ADGB	protein_coding	6
ENSG00000197177	ADGRA1	protein_coding	10
ENSG00000256925	ADGRA1-AS1	lncRNA	10
ENSG00000020181	ADGRA2	protein_coding	8
ENSG00000152990	ADGRA3	protein_coding	4
ENSG00000181790	ADGRB1	protein_coding	8
ENSG00000121753	ADGRB2	protein_coding	1
ENSG00000135298	ADGRB3	protein_coding	6
ENSG00000111452	ADGRD1	protein_coding	12
ENSG00000256151	ADGRD1-AS1	lncRNA	12
ENSG00000180264	ADGRD2	protein_coding	9
ENSG00000174837	ADGRE1	protein_coding	19
ENSG00000127507	ADGRE2	protein_coding	19
ENSG00000131355	ADGRE3	protein_coding	19
ENSG00000123146	ADGRE5	protein_coding	19
ENSG00000153292	ADGRF1	protein_coding	6
ENSG00000164393	ADGRF2	protein_coding	6
ENSG00000173567	ADGRF3	protein_coding	2
ENSG00000153294	ADGRF4	protein_coding	6
ENSG00000069122	ADGRF5	protein_coding	6
ENSG00000225730	ADGRF5-AS1	lncRNA	6
ENSG00000205336	ADGRG1	protein_coding	16
ENSG00000173698	ADGRG2	protein_coding	X
ENSG00000182885	ADGRG3	protein_coding	16
ENSG00000156920	ADGRG4	protein_coding	X
ENSG00000159618	ADGRG5	protein_coding	16
ENSG00000112414	ADGRG6	protein_coding	6
ENSG00000144820	ADGRG7	protein_coding	3
ENSG00000072071	ADGRL1	protein_coding	19
ENSG00000117114	ADGRL2	protein_coding	1
ENSG00000150471	ADGRL3	protein_coding	4
ENSG00000248692	ADGRL3-AS1	lncRNA	4
ENSG00000162618	ADGRL4	protein_coding	1
ENSG00000164199	ADGRV1	protein_coding	5
ENSG00000187758	ADH1A	protein_coding	4
ENSG00000196616	ADH1B	protein_coding	4
ENSG00000248144	ADH1C	protein_coding	4
ENSG00000198099	ADH4	protein_coding	4
ENSG00000197894	ADH5	protein_coding	4
ENSG00000172955	ADH6	protein_coding	4
ENSG00000196344	ADH7	protein_coding	4
ENSG00000147576	ADHFE1	protein_coding	8
ENSG00000182551	ADI1	protein_coding	2
ENSG00000182035	ADIG	protein_coding	20
ENSG00000181092	ADIPOQ	protein_coding	3
ENSG00000226482	ADIPOQ-AS1	lncRNA	3
ENSG00000159346	ADIPOR1	protein_coding	1
ENSG00000148671	ADIRF	protein_coding	10
ENSG00000156110	ADK	protein_coding	10
ENSG00000148926	ADM	protein_coding	11
ENSG00000224420	ADM5	protein_coding	19
ENSG00000101126	ADNP	protein_coding	20
ENSG00000259456	ADNP-AS1	lncRNA	20
ENSG00000101544	ADNP2	protein_coding	18
ENSG00000181915	ADO	protein_coding	10
ENSG00000163485	ADORA1	protein_coding	1
ENSG00000170425	ADORA2B	protein_coding	17
ENSG00000282608	ADORA3	protein_coding	1
ENSG00000159322	ADPGK	protein_coding	15
ENSG00000260898	ADPGK-AS1	lncRNA	15
ENSG00000144843	ADPRH	protein_coding	3
ENSG00000153531	ADPRHL1	protein_coding	13
ENSG00000170222	ADPRM	protein_coding	17
ENSG00000116863	ADPRS	protein_coding	1
ENSG00000120907	ADRA1A	protein_coding	8
ENSG00000170214	ADRA1B	protein_coding	5
ENSG00000171873	ADRA1D	protein_coding	20
ENSG00000150594	ADRA2A	protein_coding	10
ENSG00000274286	ADRA2B	protein_coding	2
ENSG00000184160	ADRA2C	protein_coding	4
ENSG00000043591	ADRB1	protein_coding	10
ENSG00000169252	ADRB2	protein_coding	5
ENSG00000188778	ADRB3	protein_coding	8
ENSG00000130706	ADRM1	protein_coding	20
ENSG00000185100	ADSS1	protein_coding	14
ENSG00000035687	ADSS2	protein_coding	1
ENSG00000111863	ADTRP	protein_coding	6
ENSG00000106624	AEBP1	protein_coding	7
ENSG00000139154	AEBP2	protein_coding	12
ENSG00000181026	AEN	protein_coding	15
ENSG00000196526	AFAP1	protein_coding	4
ENSG00000272620	AFAP1-AS1	lncRNA	4
ENSG00000157510	AFAP1L1	protein_coding	5
ENSG00000169129	AFAP1L2	protein_coding	10
ENSG00000130396	AFDN	protein_coding	6
ENSG00000198221	AFDN-DT	lncRNA	6
ENSG00000172493	AFF1	protein_coding	4
ENSG00000155966	AFF2	protein_coding	X
ENSG00000144218	AFF3	protein_coding	2
ENSG00000072364	AFF4	protein_coding	5
ENSG00000135537	AFG1L	protein_coding	6
ENSG00000141385	AFG3L2	protein_coding	18
ENSG00000079557	AFM	protein_coding	4
ENSG00000183077	AFMID	protein_coding	17
ENSG00000081051	AFP	protein_coding	4
ENSG00000119844	AFTPH	protein_coding	2
ENSG00000038002	AGA	protein_coding	4
ENSG00000157985	AGAP1	protein_coding	2
ENSG00000135439	AGAP2	protein_coding	12
ENSG00000255737	AGAP2-AS1	lncRNA	12
ENSG00000133612	AGAP3	protein_coding	7
ENSG00000188234	AGAP4	protein_coding	10
ENSG00000172650	AGAP5	protein_coding	10
ENSG00000204149	AGAP6	protein_coding	10
ENSG00000204172	AGAP9	protein_coding	10
ENSG00000273540	AGBL1	protein_coding	15
ENSG00000260125	AGBL1-AS1	lncRNA	15
ENSG00000165923	AGBL2	protein_coding	11
ENSG00000146856	AGBL3	protein_coding	7
ENSG00000186094	AGBL4	protein_coding	1
ENSG00000230114	AGBL4-AS1	lncRNA	1
ENSG00000084693	AGBL5	protein_coding	2
ENSG00000231636	AGBL5-AS1	lncRNA	2
ENSG00000173744	AGFG1	protein_coding	2
ENSG00000106351	AGFG2	protein_coding	7
ENSG00000164252	AGGF1	protein_coding	5
ENSG00000006530	AGK	protein_coding	7
ENSG00000162688	AGL	protein_coding	1
ENSG00000116771	AGMAT	protein_coding	1
ENSG00000187546	AGMO	protein_coding	7
ENSG00000092847	AGO1	protein_coding	1
ENSG00000123908	AGO2	protein_coding	8
ENSG00000126070	AGO3	protein_coding	1
ENSG00000134698	AGO4	protein_coding	1
ENSG00000169692	AGPAT2	protein_coding	9
ENSG00000160216	AGPAT3	protein_coding	21
ENSG00000026652	AGPAT4	protein_coding	6
ENSG00000155189	AGPAT5	protein_coding	8
ENSG00000018510	AGPS	protein_coding	2
ENSG00000106541	AGR2	protein_coding	7
ENSG00000173467	AGR3	protein_coding	7
ENSG00000188157	AGRN	protein_coding	1
ENSG00000159723	AGRP	protein_coding	16
ENSG00000135744	AGT	protein_coding	1
ENSG00000135049	AGTPBP1	protein_coding	9
ENSG00000144891	AGTR1	protein_coding	3
ENSG00000180772	AGTR2	protein_coding	X
ENSG00000177674	AGTRAP	protein_coding	1
ENSG00000172482	AGXT	protein_coding	2
ENSG00000113492	AGXT2	protein_coding	5
ENSG00000153207	AHCTF1	protein_coding	1
ENSG00000101444	AHCY	protein_coding	20
ENSG00000168710	AHCYL1	protein_coding	1
ENSG00000158467	AHCYL2	protein_coding	7
ENSG00000126705	AHDC1	protein_coding	1
ENSG00000135541	AHI1	protein_coding	6
ENSG00000124942	AHNAK	protein_coding	11
ENSG00000185567	AHNAK2	protein_coding	14
ENSG00000106546	AHR	protein_coding	7
ENSG00000063438	AHRR	protein_coding	5
ENSG00000100591	AHSA1	protein_coding	14
ENSG00000145192	AHSG	protein_coding	3
ENSG00000169877	AHSP	protein_coding	16
ENSG00000111732	AICDA	protein_coding	12
ENSG00000186063	AIDA	protein_coding	1
ENSG00000126878	AIF1L	protein_coding	9
ENSG00000156709	AIFM1	protein_coding	X
ENSG00000042286	AIFM2	protein_coding	10
ENSG00000146416	AIG1	protein_coding	6
ENSG00000163568	AIM2	protein_coding	1
ENSG00000164022	AIMP1	protein_coding	4
ENSG00000106305	AIMP2	protein_coding	7
ENSG00000110711	AIP	protein_coding	11
ENSG00000129221	AIPL1	protein_coding	17
ENSG00000160224	AIRE	protein_coding	21
ENSG00000268257	AIRN	lncRNA	6
ENSG00000196581	AJAP1	protein_coding	1
ENSG00000232434	AJM1	protein_coding	9
ENSG00000129474	AJUBA	protein_coding	14
ENSG00000106992	AK1	protein_coding	9
ENSG00000004455	AK2	protein_coding	1
ENSG00000147853	AK3	protein_coding	9
ENSG00000162433	AK4	protein_coding	1
ENSG00000154027	AK5	protein_coding	1
ENSG00000085231	AK6	protein_coding	5
ENSG00000140057	AK7	protein_coding	14
ENSG00000165695	AK8	protein_coding	9
ENSG00000155085	AK9	protein_coding	6
ENSG00000231824	AKAIN1	protein_coding	18
ENSG00000121057	AKAP1	protein_coding	17
ENSG00000108599	AKAP10	protein_coding	17
ENSG00000023516	AKAP11	protein_coding	13
ENSG00000131016	AKAP12	protein_coding	6
ENSG00000170776	AKAP13	protein_coding	15
ENSG00000186471	AKAP14	protein_coding	X
ENSG00000197976	AKAP17A	protein_coding	X
ENSG00000111254	AKAP3	protein_coding	12
ENSG00000147081	AKAP4	protein_coding	X
ENSG00000179841	AKAP5	protein_coding	14
ENSG00000151320	AKAP6	protein_coding	14
ENSG00000118507	AKAP7	protein_coding	6
ENSG00000105127	AKAP8	protein_coding	19
ENSG00000011243	AKAP8L	protein_coding	19
ENSG00000127914	AKAP9	protein_coding	7
ENSG00000166452	AKIP1	protein_coding	11
ENSG00000174574	AKIRIN1	protein_coding	1
ENSG00000135334	AKIRIN2	protein_coding	6
ENSG00000106948	AKNA	protein_coding	9
ENSG00000162641	AKNAD1	protein_coding	1
ENSG00000117448	AKR1A1	protein_coding	1
ENSG00000085662	AKR1B1	protein_coding	7
ENSG00000198074	AKR1B10	protein_coding	7
ENSG00000227471	AKR1B15	protein_coding	7
ENSG00000187134	AKR1C1	protein_coding	10
ENSG00000151632	AKR1C2	protein_coding	10
ENSG00000196139	AKR1C3	protein_coding	10
ENSG00000198610	AKR1C4	protein_coding	10
ENSG00000122787	AKR1D1	protein_coding	7
ENSG00000165568	AKR1E2	protein_coding	10
ENSG00000053371	AKR7A2	protein_coding	1
ENSG00000162482	AKR7A3	protein_coding	1
ENSG00000142208	AKT1	protein_coding	14
ENSG00000204673	AKT1S1	protein_coding	19
ENSG00000105221	AKT2	protein_coding	19
ENSG00000166971	AKTIP	protein_coding	16
ENSG00000148218	ALAD	protein_coding	9
ENSG00000023330	ALAS1	protein_coding	3
ENSG00000158578	ALAS2	protein_coding	X
ENSG00000163631	ALB	protein_coding	4
ENSG00000170017	ALCAM	protein_coding	3
ENSG00000161618	ALDH16A1	protein_coding	19
ENSG00000059573	ALDH18A1	protein_coding	10
ENSG00000165092	ALDH1A1	protein_coding	9
ENSG00000128918	ALDH1A2	protein_coding	15
ENSG00000184254	ALDH1A3	protein_coding	15
ENSG00000137124	ALDH1B1	protein_coding	9
ENSG00000144908	ALDH1L1	protein_coding	3
ENSG00000250218	ALDH1L1-AS1	lncRNA	3
ENSG00000246022	ALDH1L1-AS2	lncRNA	3
ENSG00000136010	ALDH1L2	protein_coding	12
ENSG00000111275	ALDH2	protein_coding	12
ENSG00000108602	ALDH3A1	protein_coding	17
ENSG00000072210	ALDH3A2	protein_coding	17
ENSG00000006534	ALDH3B1	protein_coding	11
ENSG00000132746	ALDH3B2	protein_coding	11
ENSG00000159423	ALDH4A1	protein_coding	1
ENSG00000112294	ALDH5A1	protein_coding	6
ENSG00000119711	ALDH6A1	protein_coding	14
ENSG00000164904	ALDH7A1	protein_coding	5
ENSG00000118514	ALDH8A1	protein_coding	6
ENSG00000143149	ALDH9A1	protein_coding	1
ENSG00000149925	ALDOA	protein_coding	16
ENSG00000136872	ALDOB	protein_coding	9
ENSG00000109107	ALDOC	protein_coding	17
ENSG00000033011	ALG1	protein_coding	16
ENSG00000139133	ALG10	protein_coding	12
ENSG00000175548	ALG10B	protein_coding	12
ENSG00000253710	ALG11	protein_coding	13
ENSG00000101901	ALG13	protein_coding	X
ENSG00000229487	ALG13-AS1	lncRNA	X
ENSG00000172339	ALG14	protein_coding	1
ENSG00000230427	ALG14-AS1	lncRNA	1
ENSG00000189366	ALG1L	protein_coding	3
ENSG00000251287	ALG1L2	protein_coding	3
ENSG00000119523	ALG2	protein_coding	9
ENSG00000214160	ALG3	protein_coding	3
ENSG00000120697	ALG5	protein_coding	13
ENSG00000088035	ALG6	protein_coding	1
ENSG00000159063	ALG8	protein_coding	11
ENSG00000086848	ALG9	protein_coding	11
ENSG00000171094	ALK	protein_coding	2
ENSG00000196711	ALKAL1	protein_coding	8
ENSG00000189292	ALKAL2	protein_coding	2
ENSG00000100601	ALKBH1	protein_coding	14
ENSG00000189046	ALKBH2	protein_coding	12
ENSG00000166199	ALKBH3	protein_coding	11
ENSG00000244926	ALKBH3-AS1	lncRNA	11
ENSG00000160993	ALKBH4	protein_coding	7
ENSG00000091542	ALKBH5	protein_coding	17
ENSG00000239382	ALKBH6	protein_coding	19
ENSG00000125652	ALKBH7	protein_coding	19
