"symbol_hs","symbol_mm"
"H6PD","H6pd"
"SPSB1","Spsb1"
"SLC25A33","Slc25a33"
"TMEM201","Tmem201"
"PIK3CD","Pik3cd"
"CLSTN1","Clstn1"
"CTNNBIP1","Ctnnbip1"
"LZIC","Lzic"
"NMNAT1","Nmnat1"
"RBP7","Rbp7"
"UBE4B","Ube4b"
"KIF1B","Kif1b"
"PGD","Pgd"
"CENPS","Cenps"
"CORT","Cort"
"DFFA","Dffa"
"PEX14","Pex14"
"C1orf127","Gm572"
"TARDBP","Tardbp"
"SRM","Srm"
"EXOSC10","Exosc10"
"MTOR","Mtor"
"ANGPTL7","Angptl7"
"UBIAD1","Ubiad1"
"FBXO2","Fbxo2"
"FBXO44","Fbxo44"
"FBXO6","Fbxo6"
"MAD2L2","Mad2l2"
"DRAXIN","Draxin"
"AGTRAP","Agtrap"
"MTHFR","Mthfr"
"CLCN6","Clcn6"
"KIAA2013","2510039O18Rik"
"PLOD1","Plod1"
"MFN2","Mfn2"
"MIIP","Miip"
"TNFRSF8","Tnfrsf8"
"TNFRSF1B","Tnfrsf1b"
"VPS13D","Vps13d"
"DHRS3","Dhrs3"
"PDPN","Pdpn"
"PRDM2","Prdm2"
"KAZN","Kazn"
"TMEM51","Tmem51"
"FHAD1","Fhad1"
"EFHD2","Efhd2"
"CASP9","Casp9"
"DNAJC16","Dnajc16"
"AGMAT","Agmat"
"PLEKHM2","Plekhm2"
"SLC25A34","Slc25a34"
"FBLIM1","Fblim1"
"SPEN","Spen"
"ZBTB17","Zbtb17"
"HSPB7","Hspb7"
"EPHA2","Epha2"
"ARHGEF19","Arhgef19"
"CPLANE2","Cplane2"
"FBXO42","Fbxo42"
"SZRD1","Szrd1"
"NECAP2","Necap2"
"CROCC","Crocc"
"MFAP2","Mfap2"
"ATP13A2","Atp13a2"
"SDHB","Sdhb"
"PADI2","Padi2"
"PADI4","Padi4"
"RCC2","Rcc2"
"ARHGEF10L","Arhgef10l"
"IGSF21","Igsf21"
"KLHDC7A","Klhdc7a"
"ALDH4A1","Aldh4a1"
"IFFO2","Iffo2"
"UBR4","Ubr4"
"EMC1","Emc1"
"MRTO4","Mrto4"
"SLC66A1","Slc66a1"
"CAPZB","Capzb"
"MICOS10","Micos10"
"NBL1","Nbl1"
"TMCO4","Tmco4"
"OTUD3","Otud3"
"PLA2G2A","Pla2g2a"
"PLA2G5","Pla2g5"
"PLA2G2D","Pla2g2d"
"UBXN10","Ubxn10"
"CAMK2N1","Camk2n1"
"MUL1","Mul1"
"FAM43B","Fam43b"
"CDA","Cda"
"PINK1","Pink1"
"DDOST","Ddost"
"KIF17","Kif17"
"HP1BP3","Hp1bp3"
"EIF4G3","Eif4g3"
"ECE1","Ece1"
"ALPL","Alpl"
"RAP1GAP","Rap1gap"
"USP48","Usp48"
"LDLRAD2","Ldlrad2"
"HSPG2","Hspg2"
"CDC42","Cdc42"
"WNT4","Wnt4"
"ZBTB40","Zbtb40"
"C1QA","C1qa"
"C1QC","C1qc"
"C1QB","C1qb"
"EPHB2","Ephb2"
"KDM1A","Kdm1a"
"LUZP1","Luzp1"
"HNRNPR","Hnrnpr"
"ZNF436","Zfp46"
"TCEA3","Tcea3"
"ASAP3","Asap3"
"E2F2","E2f2"
"ID3","Id3"
"ELOA","Eloa"
"PITHD1","Pithd1"
"LYPLA2","Lypla2"
"GALE","Gale"
"HMGCL","Hmgcl"
"FUCA1","Fuca1"
"CNR2","Cnr2"
"PNRC2","Pnrc2"
"SRSF10","Srsf10"
"IL22RA1","Il22ra1"
"IFNLR1","Ifnlr1"
"GRHL3","Grhl3"
"STPG1","Stpg1"
"NIPAL3","Nipal3"
"RCAN3","Rcan3"
"NCMAP","Ncmap"
"SRRM1","Srrm1"
"CLIC4","Clic4"
"RUNX3","Runx3"
"SYF2","Syf2"
"RSRP1","Rsrp1"
"TMEM50A","Tmem50a"
"RHCE","Rhd"
"MACO1","Maco1"
"LDLRAP1","Ldlrap1"
"MAN1C1","Man1c1"
"SELENON","Selenon"
"MTFR1L","Mtfr1l"
"PAQR7","Paqr7"
"STMN1","Stmn1"
"PAFAH2","Pafah2"
"EXTL1","Extl1"
"TRIM63","Trim63"
"PDIK1L","Pdik1l"
"FAM110D","Fam110d"
"ZNF593","Zfp593"
"CNKSR1","Cnksr1"
"CEP85","Cep85"
"SH3BGRL3","Sh3bgrl3"
"UBXN11","Ubxn11"
"CD52","Cd52"
"CRYBG2","Crybg2"
"DHDDS","Dhdds"
"HMGN2","Hmgn2-ps"
"ARID1A","Arid1a"
"PIGV","Pigv"
"ZDHHC18","Zdhhc18"
"SFN","Sfn"
"GPN2","Gpn2"
"GPATCH3","Gpatch3"
"NUDC","Nudc"
"NR0B2","Nr0b2"
"KDF1","Kdf1"
"TRNP1","Trnp1"
"TENT5B","Tent5b"
"SLC9A1","Slc9a1"
"WDTC1","Wdtc1"
"TMEM222","Tmem222"
"SYTL1","Sytl1"
"MAP3K6","Map3k6"
"CD164L2","Cd164l2"
"GPR3","Gpr3"
"WASF2","Wasf2"
"AHDC1","Ahdc1"
"FGR","Fgr"
"FAM76A","Fam76a"
"STX12","Stx12"
"PPP1R8","Ppp1r8"
"THEMIS2","Themis2"
"RPA2","Rpa2"
"SMPDL3B","Smpdl3b"
"XKR8","Xkr8"
"EYA3","Eya3"
"PTAFR","Ptafr"
"DNAJC8","Dnajc8"
"ATP5IF1","Atpif1"
"SESN2","Sesn2"
"MED18","Med18"
"PHACTR4","Phactr4"
"RCC1","Rcc1"
"TRNAU1AP","Trnau1ap"
"TAF12","Taf12"
"RAB42","Rab42"
"GMEB1","Gmeb1"
"YTHDF2","Ythdf2"
"EPB41","Epb41"
"TMEM200B","Tmem200b"
"SRSF4","Srsf4"
"MECR","Mecr"
"PTPRU","Ptpru"
"LAPTM5","Laptm5"
"SDC3","Sdc3"
"PUM1","Pum1"
"SNRNP40","Snrnp40"
"ZCCHC17","Zcchc17"
"FABP3","Fabp3"
"SERINC2","Serinc2"
"TINAGL1","Tinagl1"
"PEF1","Pef1"
"COL16A1","Col16a1"
"ADGRB2","Adgrb2"
"SPOCD1","Spocd1"
"PTP4A2","Ptp4a2"
"KHDRBS1","Khdrbs1"
"TMEM39B","Tmem39b"
"KPNA6","Kpna6"
"TXLNA","Txlna"
"CCDC28B","Ccdc28b"
"IQCC","Iqcc"
"DCDC2B","Dcdc2b"
"TMEM234","Tmem234"
"EIF3I","Eif3i"
"FAM167B","Fam167b"
"LCK","Lck"
"HDAC1","Hdac1"
"MARCKSL1","Marcksl1"
"FAM229A","Fam229a"
"BSDC1","Bsdc1"
"ZBTB8A","Zbtb8a"
"ZBTB8OS","Zbtb8os"
"RBBP4","Rbbp4"
"SYNC","Sync"
"KIAA1522","C77080"
"YARS","Yars"
"S100PBP","S100pbp"
"FNDC5","Fndc5"
"TMEM54","Tmem54"
"RNF19B","Rnf19b"
"AK2","Ak2"
"AZIN2","Azin2"
"TRIM62","Trim62"
"ZNF362","Zfp362"
"PHC2","Phc2"
"ZSCAN20","Zscan20"
"CSMD2","Csmd2"
"SMIM12","Smim12"
"GJB5","Gjb5"
"GJB4","Gjb4"
"GJB3","Gjb3"
"GJA4","Gja4"
"DLGAP3","Dlgap3"
"TMEM35B","Tmem35b"
"ZMYM6","Zmym6"
"ZMYM1","Zmym1"
"SFPQ","Sfpq"
"ZMYM4","Zmym4"
"KIAA0319L","AU040320"
"NCDN","Ncdn"
"TFAP2E","Tfap2e"
"PSMB2","Psmb2"
"C1orf216","5730409E04Rik"
"CLSPN","Clspn"
"AGO4","Ago4"
"AGO1","Ago1"
"AGO3","Ago3"
"TEKT2","Tekt2"
"COL8A2","Col8a2"
"TRAPPC3","Trappc3"
"MAP7D1","Map7d1"
"THRAP3","Thrap3"
"SH3D21","Sh3d21"
"EVA1B","Eva1b"
"STK40","Stk40"
"LSM10","Lsm10"
"OSCP1","Oscp1"
"MRPS15","Mrps15"
"CSF3R","Csf3r"
"ZC3H12A","Zc3h12a"
"MEAF6","Meaf6"
"SNIP1","Snip1"
"DNALI1","Dnali1"
"GNL2","Gnl2"
"RSPO1","Rspo1"
"C1orf109","9930104L06Rik"
"CDCA8","Cdca8"
"EPHA10","Epha10"
"MANEAL","Maneal"
"YRDC","Yrdc"
"C1orf122","1110065P20Rik"
"MTF1","Mtf1"
"INPP5B","Inpp5b"
"SF3A3","Sf3a3"
"FHL3","Fhl3"
"UTP11","Utp11"
"RRAGC","Rragc"
"MYCBP","Mycbp"
"RHBDL2","Rhbdl2"
"AKIRIN1","Akirin1"
"NDUFS5","Ndufs5"
"MACF1","Macf1"
"PABPC4","Pabpc4"
"HEYL","Heyl"
"HPCAL4","Hpcal4"
"PPIE","Ppie"
"TRIT1","Trit1"
"MYCL","Mycl"
"MFSD2A","Mfsd2a"
"CAP1","Cap1"
"PPT1","Ppt1"
"RLF","Rlf"
"ZMPSTE24","Zmpste24"
"COL9A2","Col9a2"
"SMAP2","Smap2"
"ZFP69","Zfp69"
"EXO5","Exo5"
"RIMS3","Rims3"
"NFYC","Nfyc"
"KCNQ4","Kcnq4"
"CITED4","Cited4"
"CTPS1","Ctps"
"SLFNL1","Slfnl1"
"SCMH1","Scmh1"
"FOXO6","Foxo6"
"EDN2","Edn2"
"HIVEP3","Hivep3"
"FOXJ3","Foxj3"
"RIMKLA","Rimkla"
"ZMYND12","Zmynd12"
"PPCS","Ppcs"
"CCDC30","Ccdc30"
"PPIH","Gm7879"
"YBX1","Ybx1"
"P3H1","P3h1"
"C1orf50","AU022252"
"SVBP","Svbp"
"ERMAP","Ermap"
"ZNF691","Zfp691"
"SLC2A1","Slc2a1"
"FAM183A","Fam183b"
"EBNA1BP2","Ebna1bp2"
"CFAP57","Cfap57"
"TMEM125","Tmem125"
"C1orf210","2610528J11Rik"
"TIE1","Tie1"
"CDC20","Cdc20"
"ELOVL1","Elovl1"
"MED8","Med8"
"SZT2","Szt2"
"PTPRF","Ptprf"
"KDM4A","Kdm4a"
"ST3GAL3","St3gal3"
"ARTN","Artn"
"IPO13","Ipo13"
"DPH2","Dph2"
"ATP6V0B","Atp6v0b"
"B4GALT2","B4galt2"
"CCDC24","Ccdc24"
"SLC6A9","Slc6a9"
"DMAP1","Dmap1"
"ERI3","Eri3"
"RNF220","Rnf220"
"TMEM53","Tmem53"
"ARMH1","Armh1"
"KIF2C","Kif2c"
"PLK3","Plk3"
"BTBD19","Btbd19"
"PTCH2","Ptch2"
"EIF2B3","Eif2b3"
"HECTD3","Hectd3"
"UROD","Urod"
"ZSWIM5","Zswim5"
"MUTYH","Mutyh"
"TOE1","Toe1"
"TESK2","Tesk2"
"MMACHC","Mmachc"
"PRDX1","Prdx1"
"AKR1A1","Akr1a1"
"NASP","Nasp"
"CCDC17","Ccdc17"
"GPBP1L1","Gpbp1l1"
"TMEM69","Tmem69"
"IPP","Ipp"
"MAST2","Mast2"
"PIK3R3","Pik3r3"
"TSPAN1","Tspan1"
"POMGNT1","Pomgnt1"
"LURAP1","Lurap1"
"RAD54L","Rad54l"
"LRRC41","Lrrc41"
"FAAH","Faah"
"MKNK1","Mknk1"
"MOB3C","Mob3c"
"ATPAF1","Atpaf1"
"EFCAB14","Efcab14"
"CYP4B1","Cyp4b1"
"CYP4X1","Cyp4x1"
"PDZK1IP1","Pdzk1ip1"
"TAL1","Tal1"
"STIL","Stil"
"CMPK1","Cmpk1"
"FOXD2","Foxd2"
"TRABD2B","Trabd2b"
"SLC5A9","Slc5a9"
"SPATA6","Spata6"
"AGBL4","Agbl4"
"BEND5","Bend5"
"FAF1","Faf1"
"CDKN2C","Cdkn2c"
"RNF11","Rnf11"
"TTC39A","Ttc39a"
"EPS15","Eps15"
"OSBPL9","Osbpl9"
"NRDC","Nrd1"
"RAB3B","Rab3b"
"TXNDC12","Txndc12"
"KTI12","Kti12"
"BTF3L4","Btf3l4b"
"ZFYVE9","Zfyve9"
"CC2D1B","Cc2d1b"
"ORC1","Orc1"
"PRPF38A","Prpf38a"
"TUT4","Tut4"
"GPX7","Gpx7"
"SHISAL2A","Shisal2a"
"COA7","Coa7"
"ZYG11B","Zyg11b"
"ECHDC2","Echdc2"
"SCP2","Scp2"
"PODN","Podn"
"SLC1A7","Slc1a7"
"CPT2","Cpt2"
"CZIB","Czib"
"MAGOH","Magoh"
"LRP8","Lrp8"
"GLIS1","Glis1"
"NDC1","Ndc1"
"YIPF1","Yipf1"
"DIO1","Dio1"
"HSPB11","Hspb11"
"LRRC42","Lrrc42"
"LDLRAD1","Ldlrad1"
"TMEM59","Tmem59"
"TCEANC2","Tceanc2"
"CYB5RL","Cyb5rl"
"MRPL37","Mrpl37"
"SSBP3","Ssbp3"
"ACOT11","Acot11"
"MROH7","Mroh7"
"TTC4","Ttc4"
"PARS2","Pars2"
"TTC22","Ttc22"
"DHCR24","Dhcr24"
"TMEM61","Tmem61"
"PCSK9","Pcsk9"
"USP24","Usp24"
"PLPP3","Plpp3"
"PRKAA2","Prkaa2"
"FYB2","Fyb2"
"C8B","C8b"
"DAB1","Dab1"
"OMA1","Oma1"
"TACSTD2","Tacstd2"
"MYSM1","Mysm1"
"JUN","Jun"
"FGGY","Fggy"
"HOOK1","Hook1"
"C1orf87","Gm12695"
"NFIA","Nfia"
"TM2D1","Tm2d1"
"PATJ","Patj"
"L1TD1","L1td1"
"KANK4","Kank4"
"USP1","Usp1"
"DOCK7","Dock7"
"ATG4C","Atg4c"
"ALG6","Alg6"
"ITGB3BP","Itgb3bp"
"EFCAB7","Efcab7"
"PGM1","Pgm1"
"ROR1","Ror1"
"CACHD1","Cachd1"
"RAVER2","Raver2"
"JAK1","Jak1"
"AK4","Ak4"
"DNAJC6","Dnajc6"
"LEPROT","Leprot"
"LEPR","Lepr"
"PDE4B","Pde4b"
"SGIP1","Sgip1"
"MIER1","Mier1"
"SLC35D1","Slc35d1"
"C1orf141","4921539E11Rik"
"IL12RB2","Il12rb2"
"SERBP1","Serbp1"
"GADD45A","Gadd45a"
"GNG12","Gng12"
"WLS","Wls"
"DEPDC1","Depdc1a"
"LRRC40","Lrrc40"
"SRSF11","Srsf11"
"ANKRD13C","Ankrd13c"
"CTH","Cth"
"PTGER3","Ptger3"
"ZRANB2","Zranb2"
"NEGR1","Negr1"
"LRRIQ3","Lrriq3"
"FPGT","Fpgt"
"TNNI3K","Tnni3k"
"ERICH3","Erich3"
"CRYZ","Cryz"
"TYW3","Tyw3"
"SLC44A5","Slc44a5"
"ACADM","Acadm"
"RABGGTB","Rabggtb"
"ST6GALNAC3","St6galnac3"
"ST6GALNAC5","St6galnac5"
"PIGK","Pigk"
"AK5","Ak5"
"USP33","Usp33"
"MIGA1","Miga1"
"NEXN","Nexn"
"FUBP1","Fubp1"
"DNAJB4","Dnajb4"
"GIPC2","Gipc2"
"PTGFR","Ptgfr"
"IFI44L","Ifi44l"
"IFI44","Ifi44"
"ADGRL4","Adgrl4"
"ADGRL2","Adgrl2"
"TTLL7","Ttll7"
"PRKACB","Prkacb"
"SAMD13","Samd13"
"DNASE2B","Dnase2b"
"RPF1","Rpf1"
"GNG5","Gng5"
"SPATA1","Spata1"
"CTBS","Ctbs"
"SSX2IP","Ssx2ip"
"LPAR3","Lpar3"
"MCOLN2","Mcoln2"
"MCOLN3","Mcoln3"
"SYDE2","Syde2"
"C1orf52","2410004B18Rik"
"BCL10","Bcl10"
"DDAH1","Ddah1"
"CCN1","Ccn1"
"ZNHIT6","Znhit6"
"ODF2L","Odf2l"
"CLCA2","Clca2"
"SH3GLB1","Sh3glb1"
"SELENOF","Selenof"
"HS2ST1","Hs2st1"
"LMO4","Lmo4"
"PKN2","Pkn2"
"GTF2B","Gtf2b"
"KYAT3","Kyat3"
"GBP5","Gbp5"
"LRRC8B","Lrrc8b"
"LRRC8C","Lrrc8c"
"LRRC8D","Lrrc8d"
"ZNF326","Zfp326"
"ZNF644","Zfp644"
"HFM1","Hfm1"
"CDC7","Cdc7"
"TGFBR3","Tgfbr3"
"EPHX4","Ephx4"
"BTBD8","Btbd8"
"GLMN","Glmn"
"RPAP2","Rpap2"
"GFI1","Gfi1"
"EVI5","Evi5"
"DIPK1A","Dipk1a"
"MTF2","Mtf2"
"TMED5","Tmed5"
"CCDC18","Ccdc18"
"DR1","Dr1"
"FNBP1L","Fnbp1l"
"BCAR3","Bcar3"
"DNTTIP2","Dnttip2"
"GCLM","Gclm"
"ABCA4","Abca4"
"ARHGAP29","Arhgap29"
"ABCD3","Abcd3"
"F3","F3"
"SLC44A3","Slc44a3"
"CNN3","Cnn3"
"ALG14","Alg14"
"TLCD4","Tlcd4"
"RWDD3","Rwdd3"
"PTBP2","Ptbp2"
"DPYD","Dpyd"
"SNX7","Snx7"
"PLPPR5","Plppr5"
"PLPPR4","Plppr4"
"PALMD","Palmd"
"FRRS1","Frrs1"
"AGL","Agl"
"SLC35A3","Slc35a3"
"MFSD14A","Mfsd14a"
"SASS6","Sass6"
"TRMT13","Trmt13"
"LRRC39","Lrrc39"
"DBT","Dbt"
"RTCA","Rtca"
"CDC14A","Cdc14a"
"VCAM1","Vcam1"
"EXTL2","Extl2"
"SLC30A7","Slc30a7"
"DPH5","Dph5"
"S1PR1","S1pr1"
"COL11A1","Col11a1"
"RNPC3","Rnpc3"
"PRMT6","Prmt6"
"NTNG1","Ntng1"
"VAV3","Vav3"
"SLC25A24","Slc25a24"
"FAM102B","Fam102b"
"HENMT1","Henmt1"
"PRPF38B","Prpf38b"
"STXBP3","Stxbp3"
"AKNAD1","Aknad1"
"GPSM2","Gpsm2"
"CLCC1","Clcc1"
"WDR47","Wdr47"
"TAF13","Taf13"
"CELSR2","Celsr2"
"PSRC1","Psrc1"
"MYBPHL","Mybphl"
"SORT1","Sort1"
"PSMA5","Psma5"
"SYPL2","Sypl2"
"ATXN7L2","Atxn7l2"
"CYB561D1","Cyb561d1"
"AMIGO1","Amigo1"
"GNAI3","Gnai3"
"AMPD2","Ampd2"
"GSTM4","Gstm4"
"GSTM3","Gstm5"
"CSF1","Csf1"
"AHCYL1","Ahcyl1"
"STRIP1","Strip1"
"KCNC4","Kcnc4"
"RBM15","Rbm15"
"SLC16A4","Slc16a4"
"LAMTOR5","Lamtor5"
"KCNA2","Kcna2"
"KCNA3","Kcna3"
"CD53","Cd53"
"LRIF1","Lrif1"
"DRAM2","Dram2"
"CEPT1","Cept1"
"DENND2D","Dennd2d"
"PIFO","Pifo"
"OVGP1","Ovgp1"
"WDR77","Wdr77"
"ATP5PB","Atp5pb"
"C1orf162","I830077J02Rik"
"TMIGD3","Tmigd3"
"ADORA3","Adora3"
"RAP1A","Rap1a"
"INKA2","Inka2"
"DDX20","Ddx20"
"KCND3","Kcnd3"
"CTTNBP2NL","Cttnbp2nl"
"WNT2B","Wnt2b"
"ST7L","St7l"
"CAPZA1","4933400A11Rik"
"MOV10","Mov10"
"RHOC","Rhoc"
"PPM1J","Ppm1j"
"SLC16A1","Slc16a1"
"LRIG2","Lrig2"
"MAGI3","Magi3"
"PHTF1","Phtf1"
"RSBN1","Rsbn1"
"PTPN22","Ptpn22"
"BCL2L15","Bcl2l15"
"AP4B1","Ap4b1"
"DCLRE1B","Dclre1b"
"HIPK1","Hipk1"
"OLFML3","Olfml3"
"TRIM33","Trim33"
"BCAS2","Bcas2"
"DENND2C","Dennd2c"
"AMPD1","Ampd1"
"NRAS","Nras"
"CSDE1","Csde1"
"SIKE1","Sike1"
"TSPAN2","Tspan2"
"NGF","Ngf"
"VANGL1","Vangl1"
"CASQ2","Casq2"
"SLC22A15","Slc22a15"
"ATP1A1","Atp1a1"
"IGSF3","Igsf3"
"CD2","Cd2"
"PTGFRN","Ptgfrn"
"CD101","Cd101"
"TTF2","Ttf2"
"TRIM45","Trim45"
"VTCN1","Vtcn1"
"MAN1A2","Man1a2"
"TENT5C","Tent5c"
"GDAP2","Gdap2"
"WDR3","Wdr3"
"SPAG17","Spag17"
"TBX15","Tbx15"
"WARS2","Wars2"
"ZNF697","Zfp697"
"PHGDH","Phgdh"
"HMGCS2","Hmgcs2"
"NOTCH2","Notch2"
"SEC22B","Sec22b"
"CD160","Cd160"
"RNF115","Rnf115"
"POLR3C","Polr3c"
"NUDT17","Nudt17"
"PIAS3","Pias3"
"ANKRD35","Ankrd35"
"ITGA10","Itga10"
"PEX11B","Pex11b"
"LIX1L","Lix1l"
"ANKRD34A","Ankrd34a"
"TXNIP","Txnip"
"PRKAB2","Prkab2"
"FMO5","Fmo5"
"CHD1L","Chd1l"
"BCL9","Bcl9"
"ACP6","Acp6"
"GJA5","Gja5"
"PDE4DIP","Pde4dip"
"FCGR1A","Fcgr1"
"BOLA1","Bola1"
"SV2A","Sv2a"
"SF3B4","Sf3b4"
"MTMR11","Mtmr11"
"OTUD7B","Otud7b"
"VPS45","Vps45"
"PLEKHO1","Plekho1"
"ANP32E","Anp32e"
"APH1A","Aph1a"
"C1orf54","BC028528"
"CIART","Ciart"
"MRPS21","Mrps21"
"PRPF3","Prpf3"
"RPRD2","Rprd2"
"TARS2","Tars2"
"ECM1","Ecm1"
"ADAMTSL4","Adamtsl4"
"ENSA","Ensa"
"GOLPH3L","Golph3l"
"HORMAD1","Hormad1"
"CTSS","Ctss"
"CTSK","Ctsk"
"ARNT","Arnt"
"SETDB1","Setdb1"
"CERS2","Cers2"
"ANXA9","Anxa9"
"MINDY1","Mindy1"
"PRUNE1","Prune1"
"BNIPL","Bnipl"
"C1orf56","Gm128"
"CDC42SE1","Cdc42se1"
"MLLT11","Mllt11"
"SEMA6C","Sema6c"
"TNFAIP8L2","Tnfaip8l2"
"SCNM1","Scnm1"
"LYSMD1","Lysmd1"
"VPS72","Vps72"
"PIP5K1A","Pip5k1a"
"PSMD4","Psmd4"
"ZNF687","Zfp687"
"PI4KB","Pi4kb"
"RFX5","Rfx5"
"PSMB4","Psmb4"
"POGZ","Pogz"
"CGN","Cgn"
"TUFT1","Tuft1"
"SNX27","Snx27"
"RIIAD1","Riiad1"
"MRPL9","Mrpl9"
"OAZ3","Oaz3"
"TDRKH","Tdrkh"
"LINGO4","Lingo4"
"RORC","Rorc"
"C2CD4D","C2cd4d"
"THEM4","Them4"
"S100A10","S100a10"
"S100A11","S100a11"
"TCHH","Tchh"
"S100A8","S100a8"
"S100A6","S100a6"
"S100A5","S100a5"
"S100A4","S100a4"
"S100A3","S100a3"
"S100A2","S100a2"
"S100A16","S100a16"
"S100A14","S100a14"
"S100A13","S100a13"
"S100A1","S100a1"
"CHTOP","Chtop"
"SNAPIN","Snapin"
"ILF2","Ilf2"
"NPR1","Npr1"
"INTS3","Ints3"
"SLC27A3","Slc27a3"
"GATAD2B","Gatad2b"
"DENND4B","Dennd4b"
"CRTC2","Crtc2"
"SLC39A1","Slc39a1"
"CREB3L4","Creb3l4"
"JTB","Jtb"
"RAB13","Rab13"
"C1orf43","4933434E20Rik"
"UBAP2L","Ubap2l"
"HAX1","Hax1"
"ATP8B2","Atp8b2"
"IL6R","Il6ra"
"SHE","She"
"UBE2Q1","Ube2q1"
"ADAR","Adar"
"KCNN3","Kcnn3"
"PMVK","Pmvk"
"PBXIP1","Pbxip1"
"PYGO2","Pygo2"
"SHC1","Shc1"
"CKS1B","Cks1b"
"FLAD1","Flad1"
"ZBTB7B","Zbtb7b"
"DCST2","Dcst2"
"ADAM15","Adam15"
"EFNA4","Efna4"
"EFNA3","Efna3"
"EFNA1","Efna1"
"SLC50A1","Slc50a1"
"DPM3","Dpm3"
"KRTCAP2","Krtcap2"
"TRIM46","Trim46"
"MUC1","Muc1"
"THBS3","Thbs3"
"MTX1","Mtx1"
"GBA","Gba"
"FAM189B","Fam189b"
"SCAMP3","Scamp3"
"CLK2","Clk2"
"HCN3","Hcn3"
"FDPS","Fdps"
"RUSC1","Rusc1"
"ASH1L","Ash1l"
"MSTO1","Msto1"
"DAP3","Dap3"
"SYT11","Syt11"
"RIT1","Rit1"
"KHDC4","Khdc4"
"ARHGEF2","Arhgef2"
"SSR2","Ssr2"
"UBQLN4","Ubqln4"
"LAMTOR2","Lamtor2"
"RAB25","Rab25"
"MEX3A","Mex3a"
"LMNA","Lmna"
"SEMA4A","Sema4a"
"SLC25A44","Slc25a44"
"PMF1","Pmf1"
"PAQR6","Paqr6"
"SMG5","Smg5"
"TMEM79","Tmem79"
"GLMP","Glmp"
"CCT3","Cct3"
"MEF2D","Mef2d"
"IQGAP3","Iqgap3"
"NAXE","Naxe"
"GPATCH4","Gpatch4"
"HAPLN2","Hapln2"
"BCAN","Bcan"
"NES","Nes"
"CRABP2","Crabp2"
"ISG20L2","Isg20l2"
"MRPL24","Mrpl24"
"HDGF","Hdgf"
"PRCC","Prcc"
"SH2D2A","Sh2d2a"
"NTRK1","Ntrk1"
"PEAR1","Pear1"
"LRRC71","Lrrc71"
"ARHGEF11","Arhgef11"
"ETV3","Etv3"
"FCRL5","Fcrl5"
"FCRL1","Fcrl1"
"CD5L","Cd5l"
"KIRREL1","Kirrel"
"AIM2","Aim2"
"CADM3","Cadm3"
"ACKR1","Ackr1"
"FCER1A","Fcer1a"
"DUSP23","Dusp23"
"SLAMF8","Slamf8"
"VSIG8","Vsig8"
"CFAP45","Cfap45"
